label,concept,2025-09-30,2025-06-30,2025-03-31,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30,2023-03-31,2022-09-30,2022-06-30
"Unproved oil and gas properties, net of valuation allowance of $34,934 and $35,362, respectively",us-gaap_UnprovedOilAndGasPropertySuccessfulEffortMethod,,,,,,335755000.0,,,,,
"Other property and equipment, net of accumulated depreciation of $60,606 and $59,669, respectively",us-gaap_PropertyPlantAndEquipmentOtherNet,,,,,,34905000.0,,,,,
"Unproved oil and gas properties, net of valuation allowance of $36,286 and $38,008, respectively",us-gaap_UnprovedOilAndGasPropertySuccessfulEffortMethod,,,,,,,526085000.0,,,,
"Other property and equipment, net of accumulated depreciation of $59,133 and $56,512, respectively",us-gaap_PropertyPlantAndEquipmentOtherNet,,,,,,,41017000.0,,,,
"Unproved oil and gas properties, net of valuation allowance of $37,904 and $38,008, respectively",us-gaap_UnprovedOilAndGasPropertySuccessfulEffortMethod,,,,,,,,524693000.0,497127000.0,,
"Other property and equipment, net of accumulated depreciation of $58,203 and $56,512, respectively",us-gaap_PropertyPlantAndEquipmentOtherNet,,,,,,,,43276000.0,,,
"Other property and equipment, net of accumulated depreciation of $57,338 and $56,512, respectively",us-gaap_PropertyPlantAndEquipmentOtherNet,,,,,,,,,45694000.0,,
Unproved oil and gas properties,us-gaap_UnprovedOilAndGasPropertySuccessfulEffortMethod,,,,,,,,,,579261000.0,577854000.0
"Other property and equipment, net of accumulated depreciation of $62,950 and $62,359, respectively",us-gaap_PropertyPlantAndEquipmentOtherNet,,,,,,,,,,31831000.0,
"Other property and equipment, net of accumulated depreciation of $62,203 and $62,359, respectively",us-gaap_PropertyPlantAndEquipmentOtherNet,,,,,,,,,,,33199000.0
Deferred income taxes,us-gaap_DeferredIncomeTaxLiabilitiesNet,,,,,,,324440000.0,375063000.0,330782000.0,212470000.0,102371000.0
Common Stock,us-gaap_CommonStockValue,1146000.0,1146000.0,1145000.0,1144000.0,1141000.0,1150000.0,1163000.0,1181000.0,1205000.0,1228000.0,1220000.0
Additional paid-in capital,us-gaap_AdditionalPaidInCapitalCommonStock,1507875000.0,1516542000.0,1508865000.0,1492778000.0,1492859000.0,1536929000.0,1581110000.0,1680080000.0,1743567000.0,1810352000.0,1850601000.0
Retained Earnings,us-gaap_RetainedEarningsAccumulatedDeficit,3205190000.0,3073545000.0,2894870000.0,2570108000.0,2352532000.0,2162771000.0,1826002000.0,1621202000.0,1489032000.0,1068385000.0,605564000.0
Accumulated Other Comprehensive Income/Loss,us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1124000.0,-1135000.0,-1147000.0,-2484000.0,-2592000.0,-2599000.0,-3982000.0,-3996000.0,-4009000.0,-12303000.0,-12485000.0
Total Liabilities and Stockholders' Equity,us-gaap_LiabilitiesAndStockholdersEquity,9089500000.0,8993235000.0,8787665000.0,8027772000.0,6657011000.0,6398458000.0,6078570000.0,5992626000.0,5870158000.0,5651513000.0,5339124000.0
Total Stockholders' Equity,us-gaap_StockholdersEquity,4713087000.0,4590098000.0,4403733000.0,4061546000.0,3843940000.0,3698251000.0,3404293000.0,3298467000.0,3229795000.0,2867662000.0,2444900000.0
Acquisition deposit held in escrow,us-gaap_EscrowDeposit,,,,102000000.0,102000000.0,,,,,,
