metric,fiscalYear,high,avg,low,source,retrieved
revenue,2025,1100000000.0,1100000000.0,1000000000.0,https://stockanalysis.com/stocks/fig/forecast/,2026-02-07
revenue,2026,1400000000.0,1300000000.0,1200000000.0,https://stockanalysis.com/stocks/fig/forecast/,2026-02-07
revenue,2027,,,,https://stockanalysis.com/stocks/fig/forecast/,2026-02-07
revenue,2028,,,,https://stockanalysis.com/stocks/fig/forecast/,2026-02-07
revenue,2029,,,,https://stockanalysis.com/stocks/fig/forecast/,2026-02-07
