date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,accountsReceivables,otherReceivables,inventory,prepaids,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,totalPayables,accountPayables,otherPayables,accruedExpenses,shortTermDebt,capitalLeaseObligationsCurrent,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,capitalLeaseObligationsNonCurrent,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,treasuryStock,preferredStock,commonStock,retainedEarnings,additionalPaidInCapital,accumulatedOtherComprehensiveIncomeLoss,otherTotalStockholdersEquity,totalStockholdersEquity,totalEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt
2025-10-31,BBCP,USD,0001703956,2026-01-13,2026-01-13 17:06:23,2025,Q4,44394000,0,44394000,53132000,53132000,0,7419000,0,8408000,113353000,435459000,223581000,93933000,317514000,0,0,13216000,766189000,0,879542000,6267000,6267000,0,11973000,0,4851000,463000,0,29193000,52284000,417891000,18659000,0,89431000,11488000,537469000,0,23510000,589753000,-41687000,25000000,6000,-84999000,389880000,1589000,0,289789000,289789000,0,879542000,0,441401000,397007000
2025-07-31,BBCP,USD,0001703956,2025-09-04,2025-09-04 17:06:15,2025,Q3,41001000,0,41001000,52396000,52396000,0,7454000,8921000,2997000,112769000,439165000,223743000,96829000,320572000,0,0,13525000,773262000,0,886031000,8938000,8061000,877000,50419000,0,5014000,877000,0,0,64371000,417629000,19776000,0,86193000,11741000,535339000,0,24790000,599710000,-39817000,25000000,6000,-90316000,389263000,2185000,0,286321000,286321000,0,886031000,0,442419000,401418000
2025-04-30,BBCP,USD,0001703956,2025-06-05,2025-06-05 17:10:51,2025,Q2,37788000,0,37788000,48378000,48378000,0,6157000,8550000,2681000,103554000,437724000,223998000,99793000,323791000,0,0,13721000,775236000,0,878790000,14202000,12341000,1861000,38826000,0,4860000,1861000,0,0,57888000,417346000,20418000,0,84402000,36891000,559057000,0,25278000,616945000,-35972000,0,6000,-94015000,388737000,3089000,0,261845000,261845000,0,878790000,0,442624000,404836000
2025-01-31,BBCP,USD,0001703956,2025-03-11,2025-03-11 17:05:29,2025,Q1,85132000,0,85132000,42990000,42990000,0,6197000,3136000,3458000,140913000,434224000,222157000,102354000,324511000,0,0,13237000,771972000,0,912885000,63306000,4122000,59184000,17149000,0,4942000,1566000,0,7829000,93226000,417055000,21093000,0,84480000,11296000,533924000,25000000,26035000,652150000,-29981000,0,6000,-94011000,388199000,-3478000,0,260735000,260735000,0,912885000,0,443090000,357958000
