date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivities,netCashProvidedByInvestingActivities,netDebtIssuance,longTermNetDebtIssuance,shortTermNetDebtIssuance,netStockIssuance,netCommonStockIssuance,commonStockIssuance,commonStockRepurchased,netPreferredStockIssuance,netDividendsPaid,commonDividendsPaid,preferredDividendsPaid,otherFinancingActivities,netCashProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,incomeTaxesPaid,interestPaid
2025-10-31,BBCP,USD,0001703956,2026-01-13,2026-01-13 17:06:23,2025,Q4,5317000,13121000,3321000,617000,-9066001,-814000,243000,-957000,-7538000,1155001,14465000,-12557000,0,0,0,3464000,-9093000,-1000,0,-1000,-1852000,-1852000,0,-1852000,0,-53132000,-53132000,0,53062000,-1923000,-56000,3393000,44394000,41001000,14465000,-12557000,1908000,0,0
2025-07-31,BBCP,USD,0001703956,2025-09-04,2025-09-04 17:06:15,2025,Q3,3699000,13638000,1903000,526000,-2041999,-4054000,-1317000,-4861000,8190000,1358999,19083000,-14739000,0,0,0,2796000,-11943000,0,0,0,-3807000,-3807000,0,-3807000,0,0,0,0,-78000,-3885000,-42000,3213000,41001000,37788000,19083000,-14739000,4344000,0,0
2025-04-30,BBCP,USD,0001703956,2025-06-05,2025-06-05 17:10:51,2025,Q2,-4000,13584000,-919000,538000,9847000,-4799000,202000,7639000,6805000,1689000,24735000,-13650000,0,0,0,1243000,-12407000,0,0,0,-5926000,-5926000,0,-5926000,0,0,0,0,-54042000,-59968000,296000,-47344000,37788000,85132000,24735000,-13650000,11085000,0,0
2025-01-31,BBCP,USD,0001703956,2025-03-11,2025-03-11 17:05:29,2025,Q1,-2639000,13200000,-1787000,367000,-5995000,13206000,-332000,-3343000,-15526000,2886000,6032000,-5841000,0,0,0,1989000,-3852000,49980000,50000000,-20000,-2582000,-2582000,0,-2582000,0,0,0,0,-7379000,40019000,-108000,42091000,85132000,43041000,6032000,-5841000,191000,0,0
