date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2025-10-31,BBCP,USD,0001703956,2026-01-13,2026-01-13 17:06:23,2025,Q4,108787000,65477000,43310000,0,26454000,0,26454000,0,26454000,91931000,-8200000,202000,8402000,0,16856000,16856000,0,16856000,-8155000,8701000,3384000,5317000,0,0,5317000,0,5317000,0.1,0.09,51273000,51567000
2025-07-31,BBCP,USD,0001703956,2025-09-04,2025-09-04 17:06:15,2025,Q3,103676000,63287000,40389000,0,27459000,0,27459000,0,27459000,90746000,-8126000,273000,8399000,13628000,27059000,13431000,-501000,12930000,-7898000,5032000,1333000,3699000,0,0,3699000,0,3258000,0.063,0.0628,53430000,53314654
2025-04-30,BBCP,USD,0001703956,2025-06-05,2025-06-05 17:10:51,2025,Q2,93958000,57776000,36182000,0,27922000,0,27922000,0,27922000,85698000,-8294000,260000,8554000,13584000,22132000,8548000,-288000,8260000,-8266000,-6000,-2000,-4000,0,0,-4000,0,-430000,-0.0082,-0.0082,52699000,52699000
2025-01-31,BBCP,USD,0001703956,2025-03-11,2025-03-11 17:05:29,2025,Q1,86447000,55212000,31235000,0,27750000,0,27750000,0,27750000,82962000,-5802000,413000,6215000,13200000,15740000,2540000,945000,3485000,-7160000,-3675000,-1036000,-2639000,0,0,-2639000,440000,-3079000,-0.06,-0.06,53045000,53045000
