fiscalYear,periodEnding,forwardPE,source,retrieved
2020,2020-12-31,,https://stockanalysis.com/stocks/brk.b/forecast/,2026-02-12
2021,2021-12-31,,https://stockanalysis.com/stocks/brk.b/forecast/,2026-02-12
2022,2022-12-31,,https://stockanalysis.com/stocks/brk.b/forecast/,2026-02-12
2023,2023-12-31,,https://stockanalysis.com/stocks/brk.b/forecast/,2026-02-12
2024,2024-12-31,,https://stockanalysis.com/stocks/brk.b/forecast/,2026-02-12
2025,2025-12-31,23.0,https://stockanalysis.com/stocks/brk.b/forecast/,2026-02-12
2026,2026-12-31,22.78,https://stockanalysis.com/stocks/brk.b/forecast/,2026-02-12
