fiscalYear,periodEnding,eps,epsGrowthPct,source,retrieved
2020,2020-12-31,17.78,-46.48,https://stockanalysis.com/stocks/brk.b/forecast/,2026-02-12
2021,2021-12-31,39.7,123.32,https://stockanalysis.com/stocks/brk.b/forecast/,2026-02-12
2022,2022-12-31,-10.33,,https://stockanalysis.com/stocks/brk.b/forecast/,2026-02-12
2023,2023-12-31,44.27,,https://stockanalysis.com/stocks/brk.b/forecast/,2026-02-12
2024,2024-12-31,41.27,-6.79,https://stockanalysis.com/stocks/brk.b/forecast/,2026-02-12
2025,2025-12-31,21.92,-46.87,https://stockanalysis.com/stocks/brk.b/forecast/,2026-02-12
2026,2026-12-31,22.13,0.95,https://stockanalysis.com/stocks/brk.b/forecast/,2026-02-12
