metric,fiscalYear,high,avg,low,highRaw,avgRaw,lowRaw,source,retrieved
revenue,2025,396700000000.0,386200000000.0,364500000000.0,396.7B,386.2B,364.5B,https://stockanalysis.com/stocks/brk.b/forecast/,2026-02-12
revenue,2026,416900000000.0,385100000000.0,337200000000.0,416.9B,385.1B,337.2B,https://stockanalysis.com/stocks/brk.b/forecast/,2026-02-12
