date,symbol,reportedCurrency,fiscalYear,period,cashAndCashEquivalents,totalAssets,totalEquity,totalDebt,netDebt
2025-12-31,NFLX,USD,2025,FY,9033681000.0,55596993000.0,26615488000.0,14462836000.0,5429155000.0
2024-12-31,NFLX,USD,2024,FY,7804733000.0,53630374000.0,24743567000.0,15582804000.0,7778071000.0
2023-12-31,NFLX,USD,2023,FY,7116913000.0,48731992000.0,20588313000.0,14543261000.0,7426348000.0
2022-12-31,NFLX,USD,2022,FY,5147176000.0,48594768000.0,20777401000.0,14353076000.0,9205900000.0
2021-12-31,NFLX,USD,2021,FY,6027804000.0,44584663000.0,15849248000.0,15392895000.0,9365091000.0
2020-12-31,NFLX,USD,2020,FY,8205550000.0,39280359000.0,11065240000.0,16308973000.0,8103423000.0
