date,symbol,reportedCurrency,fiscalYear,period,operatingCashFlow,capitalExpenditure,depreciationAndAmortization,freeCashFlow
2025-12-31,NFLX,USD,2025,FY,10149273000.0,-688220000.0,333389000.0,9461053000.0
2024-12-31,NFLX,USD,2024,FY,7361364000.0,-439538000.0,328914000.0,6921826000.0
2023-12-31,NFLX,USD,2023,FY,7274301000.0,-348552000.0,356947000.0,6925749000.0
2022-12-31,NFLX,USD,2022,FY,2026257000.0,-407729000.0,336682000.0,1618528000.0
2021-12-31,NFLX,USD,2021,FY,392610000.0,-524585000.0,208412000.0,-131975000.0
2020-12-31,NFLX,USD,2020,FY,2427077000.0,-497923000.0,115710000.0,1929154000.0
