label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Amortization of premium and discount and accrued interest on marketable securities,us-gaap_AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,8322000.0,11867000.0,-633000.0,-53000.0
Deferred revenues,us-gaap_IncreaseDecreaseInContractWithCustomerLiability,,,6417000.0,30770000.0,63202000.0,13810000.0
Accrued expenses and other liabilities,us-gaap_IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,,33684000.0,64179000.0,14875000.0,31730000.0
Capital lease payments,us-gaap_FinanceLeasePrincipalPayments,,,-0.0,-0.0,-177000.0,-816000.0
Increase in accrued expenses and other liabilities with respect to purchase of treasury shares,nice_IncreaseInAccruedExpensesAndOtherLiabilitiesWithRespectToPurchaseOfTreasuryShares,0.0,103000.0,0.0,4000.0,112000.0,35000.0
Decrease in other receivables with respect to exercise of share options,nice_ChangeInOtherReceivablesWithRespectToExerciseOfShareOptions,,,,,0.0,0.0
Debt,nice_DebtHedgeOptionNonCashTransaction,,,,292940000.0,,
"Operating lease right-of-use assets, net",nice_IncreaseDecreaseOperatingLeaseRightOfUseAssetsNet,,,,,18167000.0,19104000.0
Amortization of discount on debt,us-gaap_AmortizationOfDebtDiscountPremium,,,,,13297000.0,9236000.0
Loss in respect of debt extinguishment,us-gaap_GainsLossesOnExtinguishmentOfDebt,,,1206000.0,13969000.0,,
