fiscalYear,periodEnding,eps,epsGrowthPct,source,retrieved
2021,2021-12-31,11.39,149.78,https://stockanalysis.com/stocks/crox/forecast/,2026-02-12
2022,2022-12-31,8.71,-23.53,https://stockanalysis.com/stocks/crox/forecast/,2026-02-12
2023,2023-12-31,12.79,46.84,https://stockanalysis.com/stocks/crox/forecast/,2026-02-12
2024,2024-12-31,15.88,24.16,https://stockanalysis.com/stocks/crox/forecast/,2026-02-12
2025,2025-12-31,-1.5,,https://stockanalysis.com/stocks/crox/forecast/,2026-02-12
2026,2026-12-31,12.19,,https://stockanalysis.com/stocks/crox/forecast/,2026-02-12
2027,2027-12-31,12.49,2.47,https://stockanalysis.com/stocks/crox/forecast/,2026-02-12
