metric,fiscalYear,high,avg,low,highRaw,avgRaw,lowRaw,source,retrieved
revenue,2026,4300000000.0,4099999999.9999995,3800000000.0,4.3B,4.1B,3.8B,https://stockanalysis.com/stocks/crox/forecast/,2026-02-12
revenue,2027,4300000000.0,4099999999.9999995,3900000000.0,4.3B,4.1B,3.9B,https://stockanalysis.com/stocks/crox/forecast/,2026-02-12
