,concept,label,2025-12-27,2024-12-28,2023-12-30,level,abstract,dimension
0,us-gaap_Revenues,Revenue,93925000000.0,91854000000.0,91471000000.0,1,False,False
1,us-gaap_CostOfGoodsAndServicesSold,Cost of Goods and Services Sold,-43066000000.0,-41744000000.0,-41881000000.0,1,False,False
2,us-gaap_GrossProfit,Gross Profit,50859000000.0,50110000000.0,49590000000.0,1,False,False
3,us-gaap_SellingGeneralAndAdministrativeExpense,"Selling, General and Administrative Expense",-37368000000.0,-37190000000.0,-36677000000.0,1,False,False
4,us-gaap_ImpairmentOfIntangibleAssetsExcludingGoodwill,Impairment of Intangible Assets (Excluding Goodwill),-1993000000.0,-33000000.0,-927000000.0,1,False,False
5,us-gaap_OperatingIncomeLoss,Operating Income,11498000000.0,12887000000.0,11986000000.0,1,False,False
6,us-gaap_NetPeriodicDefinedBenefitsExpenseReversalOfExpenseExcludingServiceCostComponent,Other pension and retiree medical benefits (expense)/income,-133000000.0,-22000000.0,250000000.0,1,False,False
7,us-gaap_InterestExpense,Interest Expense,-1121000000.0,-919000000.0,-819000000.0,1,False,False
8,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Income Before Tax from Continuing Operations,10244000000.0,11946000000.0,11417000000.0,1,False,False
9,us-gaap_IncomeTaxExpenseBenefit,Income Tax Expense,1949000000.0,2320000000.0,2262000000.0,1,False,False
10,us-gaap_ProfitLoss,Profit or Loss,8295000000.0,9626000000.0,9155000000.0,1,False,False
11,us-gaap_NetIncomeLossAttributableToNoncontrollingInterest,Net Income Attributable to Noncontrolling Interest,-55000000.0,-48000000.0,-81000000.0,1,False,False
12,us-gaap_NetIncomeLoss,Net Income,8240000000.0,9578000000.0,9074000000.0,1,False,False
13,us-gaap_EarningsPerShareAbstract,Earnings Per Share,,,,1,False,False
14,us-gaap_EarningsPerShareBasic,Earnings Per Share (Basic),6.02,6.97,6.59,2,False,False
15,us-gaap_EarningsPerShareDiluted,Earnings Per Share (Diluted),6.0,6.95,6.56,2,False,False
16,us-gaap_WeightedAverageNumberOfSharesOutstandingAbstract,Shares Outstanding,,,,1,False,False
17,us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,Shares Outstanding (Basic),1369000000.0,1373000000.0,1376000000.0,2,False,False
18,us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,Shares Outstanding (Diluted),1373000000.0,1378000000.0,1383000000.0,2,False,False
