concept,label,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
us-gaap_Revenues,Total Revenue,1164922000000.0,1671865000000.0,1601677000000.0,1695344000000.0,
us-gaap_GrossProfit,Gross Profit,710168000000.0,954335000000.0,885440000000.0,946044000000.0,
us-gaap_OperatingIncomeLoss,Operating Income,282554000000.0,528942000000.0,504375000000.0,592761000000.0,
us-gaap_IncomeLossBeforeIncomeTaxes,Income Before Tax,372331000000.0,680722000000.0,600757000000.0,674389000000.0,
us-gaap_IncomeTaxExpenseBenefit,Income Tax Expense,93478000000.0,190080000000.0,167957000000.0,196674000000.0,
us-gaap_NetIncomeLoss,Net Income,278806000000.0,490602000000.0,432768000000.0,477691000000.0,
us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,Weighted Average Shares Basic,1164245000.0,1164235000.0,1165213000.0,1180448000.0,
us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,Weighted Average Shares Diluted,1164245000.0,1164235000.0,1165213000.0,1180448000.0,
