metric,fiscalYear,high,avg,low,highRaw,avgRaw,lowRaw,source,retrieved
revenue,2025,1200000000.0,1100000000.0,1000000000.0,1.2B,1.1B,1.0B,https://stockanalysis.com/stocks/slde/forecast/,2026-02-12
revenue,2026,1500000000.0,1300000000.0,1100000000.0,1.5B,1.3B,1.1B,https://stockanalysis.com/stocks/slde/forecast/,2026-02-12
