fiscalYear,periodEnding,forwardPE,source,retrieved
2022,2022-12-31,,https://stockanalysis.com/stocks/slde/forecast/,2026-02-12
2023,2023-12-31,,https://stockanalysis.com/stocks/slde/forecast/,2026-02-12
2024,2024-12-31,,https://stockanalysis.com/stocks/slde/forecast/,2026-02-12
2025,2025-12-31,5.34,https://stockanalysis.com/stocks/slde/forecast/,2026-02-12
2026,2026-12-31,5.52,https://stockanalysis.com/stocks/slde/forecast/,2026-02-12
2027,2027-12-31,5.59,https://stockanalysis.com/stocks/slde/forecast/,2026-02-12
