metric,fiscalYear,high,avg,low,highRaw,avgRaw,lowRaw,source,retrieved
revenue,2026,3300000000.0,3100000000.0,2800000000.0,3.3B,3.1B,2.8B,https://stockanalysis.com/stocks/calm/forecast/,2026-02-12
revenue,2027,3200000000.0,2800000000.0,2100000000.0,3.2B,2.8B,2.1B,https://stockanalysis.com/stocks/calm/forecast/,2026-02-12
