fiscalYear,periodEnding,eps,epsGrowthPct,source,retrieved
2021,2021-05-29,0.04,-89.46,https://stockanalysis.com/stocks/calm/forecast/,2026-02-12
2022,2022-05-28,2.72,6700.0,https://stockanalysis.com/stocks/calm/forecast/,2026-02-12
2023,2023-06-03,15.52,470.59,https://stockanalysis.com/stocks/calm/forecast/,2026-02-12
2024,2024-06-01,5.69,-63.34,https://stockanalysis.com/stocks/calm/forecast/,2026-02-12
2025,2025-05-31,24.95,338.49,https://stockanalysis.com/stocks/calm/forecast/,2026-02-12
2026,2026-05-31,8.28,-66.8,https://stockanalysis.com/stocks/calm/forecast/,2026-02-12
2027,2027-05-31,4.57,-44.8,https://stockanalysis.com/stocks/calm/forecast/,2026-02-12
