fiscalYear,periodEnding,forwardPE,source,retrieved
2021,2021-05-29,,https://stockanalysis.com/stocks/calm/forecast/,2026-02-12
2022,2022-05-28,,https://stockanalysis.com/stocks/calm/forecast/,2026-02-12
2023,2023-06-03,,https://stockanalysis.com/stocks/calm/forecast/,2026-02-12
2024,2024-06-01,,https://stockanalysis.com/stocks/calm/forecast/,2026-02-12
2025,2025-05-31,,https://stockanalysis.com/stocks/calm/forecast/,2026-02-12
2026,2026-05-31,9.88,https://stockanalysis.com/stocks/calm/forecast/,2026-02-12
2027,2027-05-31,17.91,https://stockanalysis.com/stocks/calm/forecast/,2026-02-12
