label,concept,2025-09-30,2025-06-30
Net Income,us-gaap_NetIncomeLoss,-1097015000.0,28227000.0
Change in unrealized gains on available-for-sale securities,us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,930000.0,
Comprehensive loss,us-gaap_ComprehensiveIncomeNetOfTax,-1096085000.0,
Change in unrealized gains (losses) on available-for-sale securities,us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,367000.0
Comprehensive income (loss),us-gaap_ComprehensiveIncomeNetOfTax,,28594000.0
