date,symbol,reportedCurrency,fiscalYear,period,cashAndCashEquivalents,totalAssets,totalEquity,totalDebt,netDebt
2025-09-30,CB,USD,2025,Q,2454000000.0,270210000000.0,77811000000.0,15727000000.0,13273000000.0
2025-06-30,CB,USD,2025,Q,2371000000.0,261563000000.0,74447000000.0,13477000000.0,11106000000.0
2025-03-31,CB,USD,2025,Q,2250000000.0,251752000000.0,70755000000.0,14508000000.0,12258000000.0
2024-09-30,CB,USD,2024,Q,2678000000.0,250557000000.0,70120000000.0,14560000000.0,11882000000.0
2024-06-30,CB,USD,2024,Q,2568000000.0,238551000000.0,64575000000.0,13178000000.0,10610000000.0
2024-03-31,CB,USD,2024,Q,2651000000.0,234867000000.0,64431000000.0,13248000000.0,10597000000.0
2023-09-30,CB,USD,2023,Q,2778000000.0,222748000000.0,57504000000.0,13736000000.0,10958000000.0
2023-06-30,CB,USD,2023,Q,2285000000.0,205448000000.0,52875000000.0,13782000000.0,11497000000.0
2023-03-31,CB,USD,2023,Q,2288000000.0,201415000000.0,52987000000.0,14375000000.0,12087000000.0
2022-09-30,CB,USD,2022,Q,2128000000.0,198111000000.0,47639000000.0,14044000000.0,11916000000.0
2022-06-30,CB,USD,2022,Q,7122000000.0,195651000000.0,51667000000.0,14311000000.0,7189000000.0
2022-03-31,CB,USD,2022,Q,1734000000.0,197990000000.0,56698000000.0,14585000000.0,12851000000.0
