date,symbol,reportedCurrency,fiscalYear,period,revenue,grossProfit,ebit,incomeBeforeTax,incomeTaxExpense,netIncome,weightedAverageShsOut,weightedAverageShsOutDil,ebitda
2024-12-31,CB,USD,2024,FY,55753000000.0,,11455000000.0,11455000000.0,1815000000.0,9272000000.0,,,11455000000.0
2023-12-31,CB,USD,2023,FY,49735000000.0,,9526000000.0,9526000000.0,511000000.0,9028000000.0,,,9526000000.0
2022-12-31,CB,USD,2022,FY,43166000000.0,,6568000000.0,6568000000.0,1255000000.0,5313000000.0,,,6568000000.0
2021-12-31,CB,USD,2021,FY,40963000000.0,,9816000000.0,9816000000.0,1277000000.0,8539000000.0,,,9816000000.0
2020-12-31,CB,USD,2020,FY,35994000000.0,,4162000000.0,4162000000.0,629000000.0,3533000000.0,,,4162000000.0
2019-12-31,CB,USD,2019,FY,34186000000.0,,5249000000.0,5249000000.0,795000000.0,4454000000.0,,,5249000000.0
