date,symbol,reportedCurrency,fiscalYear,period,operatingCashFlow,capitalExpenditure,depreciationAndAmortization,freeCashFlow
2024-12-31,CB,USD,2024,FY,16182000000.0,,,16182000000.0
2023-12-31,CB,USD,2023,FY,12632000000.0,,,12632000000.0
2022-12-31,CB,USD,2022,FY,11243000000.0,,,11243000000.0
2021-12-31,CB,USD,2021,FY,11149000000.0,,,11149000000.0
2020-12-31,CB,USD,2020,FY,9785000000.0,,,9785000000.0
2019-12-31,CB,USD,2019,FY,6342000000.0,,,6342000000.0
