metric,fiscalYear,high,avg,low,highRaw,avgRaw,lowRaw,source,retrieved
revenue,2026,6700000000.0,6500000000.0,6200000000.0,6.7B,6.5B,6.2B,https://stockanalysis.com/stocks/gl/forecast/,2026-02-13
revenue,2027,7100000000.0,6900000000.0,6400000000.0,7.1B,6.9B,6.4B,https://stockanalysis.com/stocks/gl/forecast/,2026-02-13
