fiscalYear,periodEnding,eps,epsGrowthPct,source,retrieved
2021,2021-12-31,9.99,46.48,https://stockanalysis.com/stocks/gl/forecast/,2026-02-13
2022,2022-12-31,9.04,-9.51,https://stockanalysis.com/stocks/gl/forecast/,2026-02-13
2023,2023-12-31,10.07,11.39,https://stockanalysis.com/stocks/gl/forecast/,2026-02-13
2024,2024-12-31,11.94,18.57,https://stockanalysis.com/stocks/gl/forecast/,2026-02-13
2025,2025-12-31,14.07,17.84,https://stockanalysis.com/stocks/gl/forecast/,2026-02-13
2026,2026-12-31,15.48,10.01,https://stockanalysis.com/stocks/gl/forecast/,2026-02-13
2027,2027-12-31,16.93,9.39,https://stockanalysis.com/stocks/gl/forecast/,2026-02-13
