metric,fiscalYear,high,avg,low,source,retrieved
revenue,2026,2000000000.0,2000000000.0,1900000000.0,https://stockanalysis.com/stocks/atge/forecast/,2026-02-12
revenue,2027,2200000000.0,2100000000.0,2000000000.0,https://stockanalysis.com/stocks/atge/forecast/,2026-02-12
revenue,2028,,,,https://stockanalysis.com/stocks/atge/forecast/,2026-02-12
