fiscalYear,periodEnding,eps,epsGrowthPct,source,retrieved
2021,2021-12-31,14.49,37.74,https://stockanalysis.com/stocks/trv/forecast/,2026-02-13
2022,2022-12-31,11.77,-18.77,https://stockanalysis.com/stocks/trv/forecast/,2026-02-13
2023,2023-12-31,12.79,8.67,https://stockanalysis.com/stocks/trv/forecast/,2026-02-13
2024,2024-12-31,21.47,67.87,https://stockanalysis.com/stocks/trv/forecast/,2026-02-13
2025,2025-12-31,27.43,27.76,https://stockanalysis.com/stocks/trv/forecast/,2026-02-13
2026,2026-12-31,27.48,0.19,https://stockanalysis.com/stocks/trv/forecast/,2026-02-13
2027,2027-12-31,28.62,4.15,https://stockanalysis.com/stocks/trv/forecast/,2026-02-13
