metric,fiscalYear,high,avg,low,highRaw,avgRaw,lowRaw,source,retrieved
revenue,2026,48700000000.0,45500000000.0,43200000000.0,48.7B,45.5B,43.2B,https://stockanalysis.com/stocks/trv/forecast/,2026-02-13
revenue,2027,51000000000.0,47000000000.0,44300000000.0,51.0B,47.0B,44.3B,https://stockanalysis.com/stocks/trv/forecast/,2026-02-13
