metric,fiscalYear,high,avg,low,highRaw,avgRaw,lowRaw,source,retrieved
revenue,2025,8199999999.999999,7800000000.0,7500000000.0,8.2B,7.8B,7.5B,https://stockanalysis.com/stocks/mco/forecast/,2026-02-13
revenue,2026,8900000000.0,8400000000.0,8000000000.0,8.9B,8.4B,8.0B,https://stockanalysis.com/stocks/mco/forecast/,2026-02-13
