fiscalYear,periodEnding,eps,epsGrowthPct,source,retrieved
2020,2020-12-31,9.39,26.55,https://stockanalysis.com/stocks/mco/forecast/,2026-02-13
2021,2021-12-31,11.78,25.45,https://stockanalysis.com/stocks/mco/forecast/,2026-02-13
2022,2022-12-31,7.44,-36.84,https://stockanalysis.com/stocks/mco/forecast/,2026-02-13
2023,2023-12-31,8.73,17.34,https://stockanalysis.com/stocks/mco/forecast/,2026-02-13
2024,2024-12-31,11.26,28.98,https://stockanalysis.com/stocks/mco/forecast/,2026-02-13
2025,2025-12-31,14.87,32.03,https://stockanalysis.com/stocks/mco/forecast/,2026-02-13
2026,2026-12-31,16.56,11.37,https://stockanalysis.com/stocks/mco/forecast/,2026-02-13
