date,symbol,reportedCurrency,fiscalYear,period,revenue,grossProfit,ebit,incomeBeforeTax,incomeTaxExpense,netIncome,weightedAverageShsOut,weightedAverageShsOutDil,ebitda
2025-11-30,LEVI,USD,2025,FY,6282000000.0,3877800000.0,677600000.0,634000000.0,132000000.0,,395524593.0,399749260.0,883900000.0
2024-12-01,LEVI,USD,2024,FY,6355300000.0,3815900000.0,264100000.0,219000000.0,8400000.0,,398233739.0,402368603.0,457300000.0
2023-11-26,LEVI,USD,2023,FY,6179000000.0,3515700000.0,353300000.0,265200000.0,15600000.0,,397208535.0,401723167.0,518600000.0
2022-11-27,LEVI,USD,2022,FY,6168600000.0,3548800000.0,646500000.0,649600000.0,80500000.0,,397341137.0,403844782.0,805400000.0
2021-11-28,LEVI,USD,2021,FY,5763936000.0,3346711000.0,686211000.0,580240000.0,26699000.0,553541000.0,401634760.0,409778169.0,829378000.0
2020-11-29,LEVI,USD,2020,FY,4452609000.0,2352924000.0,-85119000.0,-189783000.0,-62642000.0,-127141000.0,397315117.0,397315117.0,56676000.0
