metric,fiscalYear,high,avg,low,source,retrieved
revenue,2026,7000000000.0,6700000000.0,6400000000.0,https://stockanalysis.com/stocks/levi/forecast/,2026-02-06
revenue,2027,7500000000.0,7000000000.0,6600000000.0,https://stockanalysis.com/stocks/levi/forecast/,2026-02-06
