date,symbol,reportedCurrency,fiscalYear,period,operatingCashFlow,capitalExpenditure,depreciationAndAmortization,freeCashFlow
2025-08-31,LEVI,USD,2025,Q,,,,0.0
2025-06-01,LEVI,USD,2025,Q,,,,0.0
2025-03-02,LEVI,USD,2025,Q,52500000.0,-66600000.0,49200000.0,-14100000.0
2024-08-25,LEVI,USD,2024,Q,,,,0.0
2024-05-26,LEVI,USD,2024,Q,,,,0.0
2024-02-25,LEVI,USD,2024,Q,286000000.0,-71600000.0,44600000.0,214400000.0
2023-08-27,LEVI,USD,2023,Q,,,,0.0
2023-05-28,LEVI,USD,2023,Q,,,,0.0
2023-02-26,LEVI,USD,2023,Q,-160800000.0,-110900000.0,39600000.0,-271700000.0
2022-08-28,LEVI,USD,2022,Q,,,,0.0
2022-05-29,LEVI,USD,2022,Q,,,,0.0
2022-02-27,LEVI,USD,2022,Q,86135000.0,-73591000.0,38933000.0,12544000.0
