date,symbol,reportedCurrency,fiscalYear,period,cashAndCashEquivalents,totalAssets,totalEquity,totalDebt,netDebt
2025-11-30,LEVI,USD,2025,FY,757900000.0,6848800000.0,2278600000.0,1039200000.0,281300000.0
2024-12-01,LEVI,USD,2024,FY,690000000.0,6375500000.0,1970500000.0,994000000.0,304000000.0
2023-11-26,LEVI,USD,2023,FY,398800000.0,6053600000.0,2046400000.0,1009400000.0,610600000.0
2022-11-27,LEVI,USD,2022,FY,429600000.0,6037800000.0,1903700000.0,984500000.0,554900000.0
2021-11-28,LEVI,USD,2021,FY,810266000.0,5900069000.0,1665661000.0,1026562000.0,216296000.0
2020-11-29,LEVI,USD,2020,FY,1497155000.0,5641241000.0,1299475000.0,1564331000.0,67176000.0
