date,symbol,reportedCurrency,fiscalYear,period,operatingCashFlow,capitalExpenditure,depreciationAndAmortization,freeCashFlow
2025-11-30,LEVI,USD,2025,FY,529600000.0,-221400000.0,206300000.0,308200000.0
2024-12-01,LEVI,USD,2024,FY,898400000.0,-227500000.0,193200000.0,670900000.0
2023-11-26,LEVI,USD,2023,FY,435500000.0,-315500000.0,165300000.0,120000000.0
2022-11-27,LEVI,USD,2022,FY,228100000.0,-267100000.0,158900000.0,-39000000.0
2021-11-28,LEVI,USD,2021,FY,737264000.0,-166944000.0,143167000.0,570320000.0
2020-11-29,LEVI,USD,2020,FY,469586000.0,-130383000.0,141795000.0,339203000.0
