fiscalYear,periodEnding,eps,epsGrowthPct,source,retrieved
2021,2021-12-25,4.86,-1.62,https://stockanalysis.com/stocks/intc/forecast/,2026-02-12
2022,2022-12-31,1.94,-60.08,https://stockanalysis.com/stocks/intc/forecast/,2026-02-12
2023,2023-12-30,0.4,-79.38,https://stockanalysis.com/stocks/intc/forecast/,2026-02-12
2024,2024-12-28,-4.38,,https://stockanalysis.com/stocks/intc/forecast/,2026-02-12
2025,2025-12-27,-0.06,,https://stockanalysis.com/stocks/intc/forecast/,2026-02-12
2026,2026-12-31,0.5,,https://stockanalysis.com/stocks/intc/forecast/,2026-02-12
2027,2027-12-31,1.02,103.09,https://stockanalysis.com/stocks/intc/forecast/,2026-02-12
