fiscalYear,periodEnding,forwardPE,source,retrieved
2021,2021-12-25,,https://stockanalysis.com/stocks/intc/forecast/,2026-02-12
2022,2022-12-31,,https://stockanalysis.com/stocks/intc/forecast/,2026-02-12
2023,2023-12-30,,https://stockanalysis.com/stocks/intc/forecast/,2026-02-12
2024,2024-12-28,,https://stockanalysis.com/stocks/intc/forecast/,2026-02-12
2025,2025-12-27,,https://stockanalysis.com/stocks/intc/forecast/,2026-02-12
2026,2026-12-31,93.14,https://stockanalysis.com/stocks/intc/forecast/,2026-02-12
2027,2027-12-31,45.86,https://stockanalysis.com/stocks/intc/forecast/,2026-02-12
