label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Change in unrealized appreciation (depreciation),us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax,,,-10578000000.0,,,
Change in cumulative foreign currency translation adjustment,us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,,,-986000000.0,,,
"Change in other, including postretirement benefit liability adjustment",cb_OtherComprehensiveIncomeLossDefinedBenefitPlanAndOtherAfterReclassificationAdjustmentBeforeTax,,,-100000000.0,,,
Other comprehensive income (loss) after reclassification for net realized gains included in net income,us-gaap_OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax,,,,-2938000000.0,2592000000.0,3735000000.0
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,22.94,21.97,12.66,19.41,7.82,9.77
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,22.7,21.8,12.55,19.27,7.79,9.71
,,,,,,,
Postretirement benefit liability adjustment,us-gaap_OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,,,,-522000000.0,232000000.0,76000000.0
Comprehensive income,us-gaap_ComprehensiveIncomeNetOfTax,,,,6020000000.0,5783000000.0,7521000000.0
Realized Investment Gains (Losses),us-gaap_RealizedInvestmentGainsLosses,,,,,-498000000.0,
Policy Acquisition Costs,us-gaap_DeferredPolicyAcquisitionCostAmortizationExpense,,,,,-6547000000.0,6153000000.0
"Total net realized gains (losses) (includes $(31), $(302), and $(15) reclassified from AOCI)",cb_NetRealizedGainsLosses,,,,,,-530000000.0
"Net realized, Gain (Loss), Excluding Other-than-temporary Impairment Loss",cb_NetrealizedgainslossesexcludingOTTI,,,,,-498000000.0,-472000000.0
Other-than-temporary impairment (OTTI) losses gross,us-gaap_ImpairmentOfInvestments,,,,,,-90000000.0
