metric,fiscalYear,high,avg,low,highRaw,avgRaw,lowRaw,source,retrieved
revenue,2026,4500000000.0,4099999999.9999995,3400000000.0,4.5B,4.1B,3.4B,https://stockanalysis.com/stocks/byd/forecast/,2026-02-12
revenue,2027,4600000000.0,4200000000.0,3500000000.0,4.6B,4.2B,3.5B,https://stockanalysis.com/stocks/byd/forecast/,2026-02-12
