fiscalYear,periodEnding,eps,epsGrowthPct,source,retrieved
2021,2021-12-31,4.07,,https://stockanalysis.com/stocks/byd/forecast/,2026-02-12
2022,2022-12-31,5.87,44.23,https://stockanalysis.com/stocks/byd/forecast/,2026-02-12
2023,2023-12-31,6.12,4.24,https://stockanalysis.com/stocks/byd/forecast/,2026-02-12
2024,2024-12-31,6.19,1.16,https://stockanalysis.com/stocks/byd/forecast/,2026-02-12
2025,2025-12-31,22.56,264.46,https://stockanalysis.com/stocks/byd/forecast/,2026-02-12
2026,2026-12-31,7.83,-65.31,https://stockanalysis.com/stocks/byd/forecast/,2026-02-12
2027,2027-12-31,8.45,7.98,https://stockanalysis.com/stocks/byd/forecast/,2026-02-12
