fiscalYear,periodEnding,forwardPE,source,retrieved
2020,2020-12-31,,https://stockanalysis.com/stocks/lnc/forecast/,2026-02-13
2021,2021-12-31,,https://stockanalysis.com/stocks/lnc/forecast/,2026-02-13
2022,2022-12-31,,https://stockanalysis.com/stocks/lnc/forecast/,2026-02-13
2023,2023-12-31,,https://stockanalysis.com/stocks/lnc/forecast/,2026-02-13
2024,2024-12-31,,https://stockanalysis.com/stocks/lnc/forecast/,2026-02-13
2025,2025-12-31,5.1,https://stockanalysis.com/stocks/lnc/forecast/,2026-02-13
2026,2026-12-31,5.02,https://stockanalysis.com/stocks/lnc/forecast/,2026-02-13
