metric,fiscalYear,high,avg,low,highRaw,avgRaw,lowRaw,source,retrieved
revenue,2025,20000000000.0,19200000000.0,18600000000.0,20.0B,19.2B,18.6B,https://stockanalysis.com/stocks/lnc/forecast/,2026-02-13
revenue,2026,21700000000.0,20300000000.0,19100000000.0,21.7B,20.3B,19.1B,https://stockanalysis.com/stocks/lnc/forecast/,2026-02-13
