date,symbol,reportedCurrency,fiscalYear,period,revenue,grossProfit,ebit,incomeBeforeTax,incomeTaxExpense,netIncome,weightedAverageShsOut,weightedAverageShsOutDil,ebitda
2025-12-27,PEP,USD,2025,FY,,,,,,,,,
2024-12-28,PEP,USD,2024,FY,,,,,,,,,
2023-12-30,PEP,USD,2023,FY,,,,,,,,,
