date,symbol,reportedCurrency,fiscalYear,period,operatingCashFlow,capitalExpenditure,depreciationAndAmortization,freeCashFlow
2025-12-27,PEP,USD,2025,FY,,,,0
2024-12-28,PEP,USD,2024,FY,,,,0
2023-12-30,PEP,USD,2023,FY,,,,0
