date,symbol,reportedCurrency,fiscalYear,period,cashAndCashEquivalents,totalAssets,totalEquity,totalDebt,netDebt
2025-12-27,PEP,USD,2025,FY,9159000000.0,107399000000.0,20547000000.0,49182000000.0,40023000000.0
2024-12-28,PEP,USD,2024,FY,8505000000.0,99467000000.0,18171000000.0,44306000000.0,35801000000.0
2023-12-30,PEP,USD,2023,FY,9711000000.0,100495000000.0,18637000000.0,44105000000.0,34394000000.0
2022-12-31,PEP,USD,2022,FY,4954000000.0,92187000000.0,17273000000.0,39071000000.0,34117000000.0
2021-12-25,PEP,USD,2021,FY,5596000000.0,92377000000.0,16151000000.0,40334000000.0,34738000000.0
2020-12-26,PEP,USD,2020,FY,8185000000.0,92918000000.0,13552000000.0,44150000000.0,35965000000.0
