date,symbol,reportedCurrency,fiscalYear,period,cashAndCashEquivalents,totalAssets,totalEquity,totalDebt,netDebt
2025-09-06,PEP,USD,2025,Q,8126000000.0,106558000000.0,19543000000.0,44113000000.0,35987000000.0
2025-06-14,PEP,USD,2025,Q,7631000000.0,105345000000.0,18559000000.0,39328000000.0,31697000000.0
2025-03-22,PEP,USD,2025,Q,8268000000.0,101737000000.0,18529000000.0,39419000000.0,31151000000.0
2024-09-07,PEP,USD,2024,Q,7308000000.0,100513000000.0,19605000000.0,38490000000.0,31182000000.0
2024-06-15,PEP,USD,2024,Q,6353000000.0,99533000000.0,19580000000.0,36638000000.0,30285000000.0
2024-03-23,PEP,USD,2024,Q,8047000000.0,100040000000.0,19190000000.0,37707000000.0,29660000000.0
2023-09-09,PEP,USD,2023,Q,10017000000.0,99953000000.0,18970000000.0,35837000000.0,25820000000.0
2023-06-17,PEP,USD,2023,Q,6116000000.0,95906000000.0,17825000000.0,36008000000.0,29892000000.0
2023-03-25,PEP,USD,2023,Q,4770000000.0,93042000000.0,17175000000.0,37486000000.0,32716000000.0
2022-09-03,PEP,USD,2022,Q,6415000000.0,94461000000.0,19135000000.0,36136000000.0,29721000000.0
2022-06-11,PEP,USD,2022,Q,5405000000.0,93103000000.0,18674000000.0,33247000000.0,27842000000.0
2022-03-19,PEP,USD,2022,Q,6561000000.0,92962000000.0,18320000000.0,34590000000.0,28029000000.0
