date,symbol,reportedCurrency,fiscalYear,period,operatingCashFlow,capitalExpenditure,depreciationAndAmortization,freeCashFlow
2025-09-06,PEP,USD,2025,Q,,-992000000.0,,-992000000.0
2025-06-14,PEP,USD,2025,Q,,-904000000.0,,-904000000.0
2025-03-22,PEP,USD,2025,Q,-973000000.0,-603000000.0,684000000.0,-1576000000.0
2024-09-07,PEP,USD,2024,Q,,,,0.0
2024-06-15,PEP,USD,2024,Q,,,,0.0
2024-03-23,PEP,USD,2024,Q,-1041000000.0,-614000000.0,641000000.0,-1655000000.0
2023-09-09,PEP,USD,2023,Q,,,,0.0
2023-06-17,PEP,USD,2023,Q,,,,0.0
2023-03-25,PEP,USD,2023,Q,-392000000.0,-581000000.0,590000000.0,-973000000.0
2022-09-03,PEP,USD,2022,Q,,,,0.0
2022-06-11,PEP,USD,2022,Q,,,,0.0
2022-03-19,PEP,USD,2022,Q,-174000000.0,-522000000.0,555000000.0,-696000000.0
