metric,fiscalYear,high,avg,low,source,retrieved
revenue,2025,986300000.0,955700000.0,916100000.0,https://stockanalysis.com/stocks/carg/forecast/,2026-02-10
revenue,2026,1100000000.0,1000000000.0,961400000.0,https://stockanalysis.com/stocks/carg/forecast/,2026-02-10
revenue,2027,,,,https://stockanalysis.com/stocks/carg/forecast/,2026-02-10
revenue,2028,,,,https://stockanalysis.com/stocks/carg/forecast/,2026-02-10
revenue,2029,,,,https://stockanalysis.com/stocks/carg/forecast/,2026-02-10
revenue,2030,,,,https://stockanalysis.com/stocks/carg/forecast/,2026-02-10
