metric,fiscalYear,high,avg,low,highRaw,avgRaw,lowRaw,source,retrieved
revenue,2025,3100000000.0,3000000000.0,2900000000.0,3.1B,3.0B,2.9B,https://stockanalysis.com/stocks/nice/forecast/,2026-02-12
revenue,2026,3400000000.0,3200000000.0,3100000000.0,3.4B,3.2B,3.1B,https://stockanalysis.com/stocks/nice/forecast/,2026-02-12
