fiscalYear,periodEnding,eps,epsGrowthPct,source,retrieved
2020,2020-12-31,2.98,3.47,https://stockanalysis.com/stocks/nice/forecast/,2026-02-12
2021,2021-12-31,2.98,,https://stockanalysis.com/stocks/nice/forecast/,2026-02-12
2022,2022-12-31,4.0,34.23,https://stockanalysis.com/stocks/nice/forecast/,2026-02-12
2023,2023-12-31,5.11,27.75,https://stockanalysis.com/stocks/nice/forecast/,2026-02-12
2024,2024-12-31,6.76,32.29,https://stockanalysis.com/stocks/nice/forecast/,2026-02-12
2025,2025-12-31,12.51,85.02,https://stockanalysis.com/stocks/nice/forecast/,2026-02-12
2026,2026-12-31,11.49,-8.13,https://stockanalysis.com/stocks/nice/forecast/,2026-02-12
