label,concept,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Net Income from Continuing Operations,us-gaap_IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,-213000000.0,-1364000000.0,5159000000.0,,
Net Income,us-gaap_NetIncomeLoss,4667000000.0,-188000000.0,-1311000000.0,1599000000.0,5576000000.0,4847000000.0
Profit or Loss,us-gaap_ProfitLoss,4599000000.0,-213000000.0,-1364000000.0,1566000000.0,,
Net Income Attributable to Noncontrolling Interest,us-gaap_NetIncomeLossAttributableToNoncontrollingInterest,68000000.0,25000000.0,53000000.0,33000000.0,,
Gain on disposition of operations,us-gaap_DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,-4000000.0,6000000.0
Net OTTI losses recognized in earnings,us-gaap_OtherThanTemporaryImpairmentLossesInvestmentsPortionRecognizedInEarningsNet,,,,,,-47000000.0
"(Loss) income from discontinued operations, net of tax",us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTax,,,0.0,-3593000000.0,,
"Interest credited to contractholder funds (net of reinsurance ceded of $1, zero and zero)",all_PolicyholderAccountBalanceInterestExpenseContinuingOperations,,,,34000000.0,,
"Loss from discontinued operations, net of tax",us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTax,,0.0,,,,
Discontinued operations (in dollars per share),us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,0.0,0.0,-12.02,,
Continuing operations (in dollars per share),us-gaap_IncomeLossFromContinuingOperationsPerBasicShare,,-1.2,-5.22,16.98,,
"Interest credited to contractholder funds (net of reinsurance ceded of $20, $24 and $25)",us-gaap_InterestCreditedToPolicyholdersAccountBalances,,,,,,640000000.0
"Accident, health and other policy benefits (including remeasurement (gains) losses of $0, $(4), and $(11))",all_AccidentAndHealthInsuranceContractBenefitsNetOfReinsuranceRecoveries,,1071000000.0,,,,
Shelter-in-Place Payback expense,all_PolicyholderBenefitsShelterinPlacePayback,,0.0,0.0,29000000.0,948000000.0,
Earnings Per Share (Basic),us-gaap_EarningsPerShareBasic,17.22,-1.2,-5.22,5.04,17.53,14.25
Earnings Per Share (Diluted),us-gaap_EarningsPerShareDiluted,16.99,-1.2,-5.22,4.96,17.31,14.03
Shares Outstanding (Basic),us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,264300000.0,262500000.0,271200000.0,294800000.0,311600000.0,328200000.0
Shares Outstanding (Diluted),us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,267800000.0,262500000.0,271200000.0,299100000.0,315500000.0,333500000.0
OTTI losses reclassified to (from) other comprehensive income (OCI),us-gaap_OtherThanTemporaryImpairmentLossesInvestmentsPortionInOtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParent,,,,,,-1000000.0
