metric,fiscalYear,high,avg,low,source,retrieved
revenue,2026,54000000000.0,51400000000.0,47600000000.0,https://stockanalysis.com/stocks/cb/forecast/,2026-02-06
revenue,2027,56600000000.0,53800000000.0,49300000000.0,https://stockanalysis.com/stocks/cb/forecast/,2026-02-06
