metric,fiscalYear,high,avg,low,highRaw,avgRaw,lowRaw,source,retrieved
revenue,2026,6100000000.0,5800000000.0,5400000000.0,6.1B,5.8B,5.4B,https://stockanalysis.com/stocks/ndaq/forecast/,2026-02-13
revenue,2027,6600000000.0,6300000000.0,5700000000.0,6.6B,6.3B,5.7B,https://stockanalysis.com/stocks/ndaq/forecast/,2026-02-13
